,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,abalak,92,NE,1569967244,24,15.46,6.28,90.54,4.88
1,aberdeen,1,US,1569967267,50,46.98,-123.82,62.01,8.05
2,abu samrah,0,SY,1569967294,58,35.3,37.18,67.68,3.02
3,adana,20,TR,1569967102,88,37.0,35.33,70.0,2.24
4,adrar,0,DZ,1569967317,10,27.87,-0.29,91.4,8.05
5,ahipara,33,NZ,1569967220,91,-35.17,173.16,57.99,28.03
6,ahuimanu,75,US,1569967228,62,21.44,-157.84,87.8,14.99
7,airai,0,TL,1569967280,71,-8.93,125.41,69.5,3.69
8,aklavik,75,CA,1569967308,61,68.22,-135.01,48.2,5.82
9,albany,75,US,1569967171,65,42.65,-73.75,78.01,9.17
10,alice springs,50,AU,1569967235,24,-23.7,133.88,73.4,3.36
11,almaznyy,40,RU,1569967326,82,48.03,40.04,57.2,6.71
12,alofi,40,NU,1569967215,65,-19.06,-169.92,80.6,11.41
13,along,100,IN,1569967281,97,28.17,94.8,55.61,1.63
14,alta floresta,20,BR,1569967249,58,-9.87,-56.08,87.8,3.36
15,ambilobe,0,MG,1569967330,73,-13.19,49.05,75.35,13.89
16,ambon,90,FR,1569967255,93,47.55,-2.56,61.0,8.05
17,ancud,0,CL,1569967326,75,-41.87,-73.83,44.6,2.24
18,anloga,20,GH,1569967275,88,5.79,0.9,78.8,10.29
19,arraial do cabo,0,BR,1569967226,68,-22.97,-42.02,71.6,19.46
20,aswan,0,EG,1569967295,17,24.09,32.9,82.4,12.75
21,atambua,0,ID,1569967245,76,-9.11,124.89,76.95,7.67
22,atuona,22,PF,1569967149,78,-9.8,-139.03,79.33,15.48
23,auki,0,NG,1569967260,81,12.18,6.51,76.97,7.72
24,aurangabad,20,IN,1569967333,83,19.87,75.33,75.2,3.36
25,avarua,0,CK,1569967249,60,-21.21,-159.78,75.2,13.87
26,ayagoz,0,KZ,1569967284,55,47.96,80.43,29.49,18.23
27,aykhal,90,RU,1569967337,100,65.95,111.51,19.4,4.47
28,ayr,17,AU,1569967214,74,-19.58,147.4,75.99,3.0
29,babushkin,100,RU,1569967257,61,51.72,105.86,37.59,7.38
30,babynino,24,RU,1569967283,87,54.39,35.75,46.4,6.71
31,badiraguato,40,MX,1569967322,49,25.36,-107.55,91.4,6.8
32,bahia blanca,0,AR,1569967219,45,-38.72,-62.27,55.52,13.94
33,bakaly,100,RU,1569967273,64,55.18,53.8,51.72,19.06
34,bakhmach,66,UA,1569967328,80,51.18,32.81,48.06,6.67
35,balabac,100,PH,1569967254,76,7.99,117.06,80.01,2.91
36,ballina,20,IE,1569967315,81,54.11,-9.15,51.01,4.7
37,bambanglipuro,96,ID,1569967220,90,-7.95,110.28,74.94,11.07
38,bambous virieux,75,MU,1569967217,88,-20.34,57.76,73.0,8.05
39,banda aceh,100,ID,1569967157,70,5.56,95.32,81.94,2.44
40,bandarbeyla,18,SO,1569967297,83,9.49,50.81,75.03,5.84
41,barao de melgaco,20,BR,1569967332,25,-16.19,-55.97,98.6,8.05
42,barra,40,GM,1569967303,83,13.49,-16.54,82.4,6.93
43,barrow,47,AR,1569967199,51,-38.31,-60.23,53.79,8.55
44,baruun-urt,99,MN,1569967276,86,46.68,113.28,39.37,19.62
45,batagay-alyta,59,RU,1569967212,74,67.8,130.41,5.85,7.2
46,batemans bay,0,AU,1569967338,96,-35.71,150.18,60.01,1.63
47,baykit,100,RU,1569967311,96,61.68,96.39,26.59,4.65
48,bell ville,99,AR,1569967329,39,-32.63,-62.69,63.0,8.01
49,bellmead,40,US,1569967234,36,31.59,-97.11,95.0,11.41
50,beloha,25,MG,1569967219,80,-25.17,45.06,69.29,7.52
51,berdigestyakh,88,RU,1569967326,87,62.1,126.7,24.61,8.88
52,berlevag,40,NO,1569967273,74,70.86,29.09,35.6,19.46
53,beroroha,20,MG,1569967336,56,-21.68,45.17,76.86,7.23
54,bethel,1,US,1569967004,75,60.79,-161.76,44.6,9.17
55,biak,59,ID,1569967330,98,-0.91,122.88,60.81,3.09
56,big rapids,75,US,1569967260,94,43.7,-85.48,71.01,3.36
57,bihoro,0,JP,1569967259,85,43.75,144.14,53.91,4.9
58,bilibino,100,RU,1569967288,95,68.06,166.44,16.38,3.27
59,bilma,48,NE,1569967327,14,18.69,12.92,91.35,8.43
60,bluff,2,AU,1569967202,77,-23.58,149.07,64.98,14.47
61,bobcaygeon,75,CA,1569967314,100,44.54,-78.55,73.4,8.05
62,bodmin,75,GB,1569967221,93,50.47,-4.72,60.01,16.11
63,boende,100,CD,1569967295,89,-0.28,20.88,73.46,2.28
64,booue,97,GA,1569967279,87,-0.09,11.94,72.35,2.26
65,borogontsy,8,RU,1569967253,84,62.67,131.17,23.31,10.25
66,boulder,90,US,1569967203,93,40.02,-105.27,51.01,7.72
67,boyuibe,67,BO,1569967142,34,-20.43,-63.28,95.0,11.41
68,bredasdorp,100,ZA,1569967228,76,-34.53,20.04,60.01,4.7
69,bredy,58,RU,1569967330,66,52.43,60.33,40.18,10.6
70,bria,100,CF,1569967324,94,6.54,21.99,69.75,1.66
71,broken hill,30,AU,1569967334,18,-31.97,141.45,59.0,9.17
72,bubaque,18,GW,1569967238,83,11.28,-15.83,81.27,13.98
73,busko-zdroj,22,PL,1569967271,63,50.47,20.72,63.0,4.0
74,busselton,77,AU,1569967213,71,-33.64,115.35,46.0,2.8
75,bustamante,0,MX,1569967299,46,26.53,-100.51,87.3,18.1
76,butaritari,100,KI,1569967218,62,3.07,172.79,85.68,10.56
77,cabedelo,20,BR,1569967277,74,-6.97,-34.84,78.8,8.05
78,cabo san lucas,75,MX,1569966947,61,22.89,-109.91,86.0,16.11
79,camacupa,66,AO,1569967300,49,-12.02,17.48,60.32,3.65
80,camopi,100,GF,1569967304,51,3.17,-52.33,86.94,3.4
81,cap-aux-meules,90,CA,1569967335,65,47.38,-61.86,44.6,6.93
82,cape town,0,ZA,1569967025,72,-33.93,18.42,62.01,4.7
83,carauari,100,BR,1569967296,50,-4.88,-66.9,90.94,1.14
84,carberry,75,CA,1569967268,77,49.87,-99.36,42.8,9.17
85,cardenas,90,MX,1569967317,61,27.62,-110.24,82.0,3.36
86,carnarvon,8,ZA,1569967242,19,-30.97,22.13,54.26,8.75
87,carora,100,VE,1569967330,84,10.17,-70.08,79.1,1.39
88,casper,90,US,1569967240,100,42.87,-106.31,39.99,14.99
89,castro,0,CL,1569967227,75,-42.48,-73.76,44.6,2.24
90,cerro punta,40,PA,1569967331,74,8.85,-82.57,80.6,4.7
91,champerico,75,MX,1569967226,78,16.38,-93.6,77.0,6.93
92,chapayeve,0,UA,1569967297,87,49.37,35.87,50.0,4.47
93,chara,0,GR,1569967238,93,39.42,22.43,68.0,5.82
94,cheremukhovo,100,RU,1569967267,92,56.23,46.23,55.07,10.02
95,cherskiy,93,RU,1569967226,87,68.75,161.3,22.83,7.2
96,chilca,40,PE,1569967303,36,-13.22,-72.34,62.6,3.36
97,chimoio,90,MZ,1569967333,100,-19.11,33.48,60.8,6.06
98,chokurdakh,0,RU,1569967201,80,70.62,147.9,19.89,17.05
99,chulman,24,RU,1569967315,93,56.84,124.9,16.82,3.65
100,chuy,100,UY,1569967290,95,-33.69,-53.46,64.89,10.0
101,cidreira,24,BR,1569967201,66,-30.17,-50.22,73.41,13.91
102,clyde river,90,CA,1569967227,100,70.47,-68.59,33.8,10.29
103,coahuayana,57,MX,1569967255,71,18.62,-100.35,82.44,2.55
104,cockburn town,84,TC,1569967039,63,21.46,-71.14,84.33,2.48
105,cockeysville,1,US,1569967310,54,39.48,-76.65,86.0,9.17
106,codrington,40,AU,1569967233,93,-28.95,153.24,66.99,5.82
107,coihaique,75,CL,1569967296,52,-45.58,-72.07,44.6,5.82
108,college,75,US,1569967293,86,64.86,-147.8,48.0,5.35
109,constitucion,90,MX,1569967250,43,23.99,-104.67,71.6,5.82
110,copiapo,20,CL,1569967006,62,-27.37,-70.33,59.0,18.34
111,coquimbo,75,CL,1569967240,58,-29.95,-71.34,57.2,11.41
112,cordenons,20,IT,1569967320,83,45.99,12.71,69.8,4.7
113,cururupu,100,BR,1569967326,75,-1.82,-44.87,77.85,4.83
114,dan khun thot,0,TH,1569967243,88,15.21,101.77,73.89,3.04
115,daru,100,PG,1569967286,93,-9.07,143.21,75.05,9.37
116,dengzhou,73,CN,1569967250,48,32.69,112.08,72.24,4.21
117,dharmabad,68,IN,1569967276,83,18.89,77.84,74.15,4.92
118,dhidhdhoo,0,MV,1569967247,73,6.88,73.1,82.39,6.93
119,diapaga,93,BF,1569967314,81,12.07,1.79,77.84,1.03
120,dikson,6,RU,1569967282,85,73.51,80.55,28.39,19.39
